LogModel,Tag_0,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9
0,0.86,0.56,0.86,0.88,0.87,0.84,0.78,0.71,0.91,0.82
1,0.81,0.62,0.9,0.95,0.84,0.9,0.79,1,0.94,0.82
2,0.9,0.75,0.88,0.91,0.82,0.88,0.78,0.71,0.88,0.88
3,0.9,0.81,0.94,0.93,0.81,0.84,0.84,0.71,0.97,0.79
4,0.86,0.81,0.9,0.91,0.82,0.92,0.84,0.86,0.97,0.82
5,0.95,0.75,0.85,0.88,0.8,0.92,0.79,0.86,0.91,0.91
6,0.86,0.69,0.88,1,0.8,0.85,0.81,0.71,0.88,0.85
7,0.9,0.75,0.88,0.91,0.83,0.94,0.87,0.86,0.97,0.82
8,0.95,0.75,0.89,0.89,0.77,0.91,0.78,0.86,0.85,0.79
9,0.86,0.75,0.86,0.98,0.8,0.89,0.76,0.86,0.85,0.88
10,0.9,0.62,0.82,0.96,0.84,0.86,0.76,0.86,0.97,0.79
11,0.81,0.69,0.94,0.95,0.79,0.85,0.84,0.71,0.88,0.88
12,0.76,0.69,0.81,0.89,0.81,0.89,0.87,0.57,1,0.91
13,0.9,0.69,0.86,0.93,0.79,0.86,0.79,1,0.85,0.91
14,0.81,0.81,0.85,0.91,0.76,0.9,0.79,0.86,0.88,0.73
15,0.9,0.75,0.86,0.91,0.84,0.94,0.7,0.86,0.94,0.88
16,0.81,0.69,0.86,0.84,0.78,0.94,0.81,1,0.88,0.79
17,1,0.56,0.86,0.91,0.87,0.91,0.81,0.71,0.88,0.79
18,0.71,0.62,0.9,0.95,0.85,0.88,0.76,0.71,0.94,0.91
19,0.76,0.75,0.87,0.96,0.84,0.84,0.88,0.86,0.94,0.94
Max,1,0.81,0.94,1,0.87,0.94,0.88,1,1,0.94
Min,0.71,0.56,0.81,0.84,0.76,0.84,0.7,0.57,0.85,0.73
Avg,0.86,0.71,0.87,0.92,0.82,0.89,0.8,0.81,0.91,0.85